Title                                                                                                                                                                         ,Price ,In Stock ,Category
MSI GeForce RTX 4080 16GB GAMING X TRIO 16GB GDDR6X 256-Bit PCIe 4.0 Desktop Graphics Card                                                                                    ,True  ,30299.00 ,Graphics Cards
[RECERTIFIED] XFX Radeon RX 6800 XT Speedster MERC319 RX-68XTALFD9 16GB GDDR6 256-bit PCI-E 4.0 Desktop Graphics Card - 18 Month Warranty                                     ,False ,11199.00 ,Graphics Cards
ASUS GeForce RTX 4070 Ti PROART OC Edition RTX4070TI-O12G 12GB GDDR6X 192-Bit PCIe 4.0 Desktop Graphics Card                                                                  ,True  ,20999.00 ,Graphics Cards
MSI GT 710 2GD3H LP GeForce GT710 2GB DDR3 1600MHz 64Bit PCI-E 2.0 Desktop Graphics Card                                                                                      ,True  ,1295.00  ,Graphics Cards
Gigabyte GeForce RTX 3060 VISION OC 12G GV-N3060VISION OC-12GD 12GB GDDR6 192-bit PCI-E 4.0 Desktop Graphics Card(Lite Hash Rate)                                             ,True  ,8099.00  ,Graphics Cards
Gigabyte GeForce RTX 4090 Gaming OC GV-N4090GAMING OC-24GD 24GB GDDR6X 384-Bit PCIe 4.0 Desktop Graphics Card                                                                 ,True  ,44485.00 ,Graphics Cards
ASUS GeForce RTX 4070 Ti ROG Strix OC Edition ROG-STRIX-RTX4070TI-O12G-GAMING 12GB GDDR6X 192-Bit PCIe 4.0 Desktop Graphics Card                                              ,True  ,29199.00 ,Graphics Cards
Gigabyte GeForce RTX 3060 Ti EAGLE OC D6X 8G GV-N306TXEAGLE-OC-8GD 8GB GDDR6X 256-bit PCIe 4.0 Desktop Graphics Card                                                          ,True  ,10799.00 ,Graphics Cards
Gigabyte GeForce RTX 4060 Ti GAMING OC 16G GV-N406TGAMING OC-16GD 16GB GDDR6 128-Bit PCIe 4.0 Desktop Graphics Card                                                           ,True  ,13152.00 ,Graphics Cards
ASUS GeForce RTX 4060 Ti PROART OC Edition RTX4060TI-O16G 16GB GDDR6 128-bit PCIe 4.0 Desktop Graphics Card                                                                   ,True  ,13899.00 ,Graphics Cards
ASUS GeForce RTX 4080 16GB ROG Strix OC Edition 16GB GDDR6X 256-bit PCIe 4.0 Desktop Graphics Card                                                                            ,True  ,35499.00 ,Graphics Cards
Zotac GeForce RTX 4090 Trinity OC ZT-D40900J-10P 24GB GDDR6X 384-Bit PCIe 4.0 Desktop Graphics Card                                                                           ,False ,39499.00 ,Graphics Cards
ASUS GeForce RTX 4070 Ti TUF Gaming TUF-RTX4070TI-12G-GAMING 12GB GDDR6X 192-Bit PCIe 4.0 Desktop Graphics Card                                                               ,True  ,21999.00 ,Graphics Cards
Gigabyte Radeon RX 6650 XT Gaming OC 8G GV-R665XTGAMING-OC-8GD 8GB GDDR6 128-bit PCIe 4.0 Desktop Graphics Card                                                               ,True  ,6884.00  ,Graphics Cards
Gigabyte GeForce RTX 4060 Ti AERO OC 8G GV-N406TAERO OC-8GD 8GB GDDR6 128-Bit PCIe 4.0 Desktop Graphics Card                                                                  ,True  ,11868.00 ,Graphics Cards
Acer Arc A750 Predator BiFrost OC DP.Z35WW.P01 8GB GDDR6 256-bit PCIe 4.0 Desktop Graphics Card                                                                               ,True  ,5799.00  ,Graphics Cards
PNY RTX A4000 VCNRTXA4000-PB 16GB GDDR6 256-bit PCIe 4.0 Workstation Graphics Card                                                                                            ,True  ,31968.00 ,Graphics Cards
Gigabyte GeForce RTX 4070 EAGLE OC 12G GV-N4070EAGLE OC-12G ​12GB GDDR6X 192-bit PCIe 4.0 Desktop Graphics Card                                                                ,True  ,16562.00 ,Graphics Cards
Gigabyte GeForce RTX 4060 Ti AERO OC 16G GV-N406TAERO OC-16GD 16GB GDDR6 128-Bit PCIe 4.0 Desktop Graphics Card                                                               ,True  ,13274.00 ,Graphics Cards
[OPENBOX] PowerColor Radeon 6900 XT Red Devil AXRX 6900XT 16GBD6-3DHE/OC 16GB GDDR6 256-bit PCI-E 4.0 Desktop Graphics Card                                                   ,False ,13999.00 ,Graphics Cards
[OPENBOX] ECOFLOW DELTA 2 1024Wh Mobile Power Station                                                                                                                         ,False ,16999.00 ,Graphics Cards
[RECERTIFIED] XFX Radeon RX 7900 XTX Merc 310 Black Speedster RX-79XMERCB9 24GB GDDR6 384-bit PCI-E 4.0 Desktop Graphics Card - 18 Month Warranty                             ,False ,20299.00 ,Graphics Cards
