Title,Price,In Stock
Intel Core i9-12900F Alder Lake 16-Core 2.40GHz LGA1700 65W BX8071512900F Desktop Processor,12642.49,False,CPUs / Processors
Intel Core i9-12900K Alder Lake 16-Core 3.20GHz LGA1700 125W BX8071512900K Desktop Processor,12915.99,False,CPUs / Processors
Intel Core i9-12900KF Alder Lake 16-Core 3.20GHz LGA1700 125W BX8071512900KF Desktop Processor,12778.99,False,CPUs / Processors
Intel Core i9-12900KS Alder Lake 16-Core 3.40GHz LGA1700 150W BX8071512900KS Desktop Processor,13101.99,False,CPUs / Processors
Intel Core i9-13900 Raptor Lake 24-Core 2.00GHz LGA1700 65W BX8071513900 Desktop Processor,13151.99,False,CPUs / Processors
Intel Core i9-13900F Raptor Lake 24-Core 2.00GHz LGA1700 65W BX8071513900F Desktop Processor,13014.99,False,CPUs / Processors
Intel Core i9-13900K Raptor Lake 24-Core 3.00GHz LGA1700 125W BX8071513900K Desktop Processor,13163.99,False,CPUs / Processors
Intel Core i9-13900KF Raptor Lake 24-Core 3.00GHz LGA1700 125W BX8071513900KF Desktop Processor,13722.99,False,CPUs / Processors
Intel Core i9-13900KS Raptor Lake 24-Core 3.20GHz LGA1700 150W BX8071513900KS Desktop Processor,14095.49,False,CPUs / Processors
Intel Core i9-14900K Raptor Lake 24-Core 3.20GHz LGA1700 125W BX8071514900K Desktop Processor,14449.49,False,CPUs / Processors
Intel Core i9-14900KF Raptor Lake 24-Core 3.20GHz LGA1700 125W BX8071514900KF Desktop Processor,13796.49,False,CPUs / Processors
Intel Pentium Gold G7400 Alder Lake 2-Core 3.70GHz LGA1700 46W BX80715G7400 Desktop Processor,2172.49,False,CPUs / Processors
ASRock B650 PRO RS AM5 AMD B650-PRO-RS ATX AMD Motherboard,5582.99,False,Motherboards
ASRock B650E Steel Legend AM5 AMD B650E-STEELLEGEND ATX AMD Motherboard,7073.49,False,Motherboards
ASRock TRX40 Taichi sTR4 AMD TRX40-TAICHI TRX40 ATX AMD Motherboard,8874.49,False,Motherboards
ASRock Z790 PRO RS LGA1700 Z790-PRO-RS ATX Intel Motherboard,5582.99,False,Motherboards
ASUS PRIME A320M-K AM4 AMD A320 Micro-ATX AMD Motherboard,1084.49,False,Motherboards
ASUS PRIME A520M-K AM4 AMD A520 Micro-ATX AMD Motherboard,1389.99,False,Motherboards
ASUS PRIME B550M-K AM4 AMD B550 Micro-ATX AMD Motherboard,1896.99,False,Motherboards
ASUS PRIME B560-PLUS LGA1200 Intel B560 ATX Intel Motherboard,3030.49,False,Motherboards
ASUS PRIME B650-PLUS AM5 AMD B650 ATX AMD Motherboard,3364.99,False,Motherboards
ASUS PRIME B650M-A II AM5 AMD B650 Micro-ATX AMD Motherboard,3059.49,False,Motherboards
ASUS PRIME B650M-A WIFI II AM5 AMD B650 Micro-ATX AMD Motherboard,5191.99,False,Motherboards
ASUS PRIME B650M-K AM5 AMD B650 Micro-ATX AMD Motherboard,2764.99,False,Motherboards
ASUS PRIME B660M-K D4 LGA1700 Intel B660 Micro-ATX Intel Motherboard,1961.49,False,Motherboards
ASUS PRIME B760-PLUS D4 LGA1700 Intel B760 ATX Intel Motherboard,2639.49,False,Motherboards
ASUS PRIME B760M-A D4 LGA1700 Intel B760 Micro-ATX Intel Motherboard,4060.49,False,Motherboards
ASUS PRIME B760M-A WIFI D4 LGA1700 Intel B760 Micro-ATX Intel Motherboard,4365.99,False,Motherboards
ASUS PRIME B760M-K D4 LGA1700 Intel B760 Micro-ATX Intel Motherboard,2539.99,False,Motherboards
ASUS PRIME H310M-K R2.0 LGA1151 Intel H310 Micro-ATX Intel Motherboard,1477.99,False,Motherboards
ASUS PRIME H470 PLUS LGA1200 Intel H470 ATX Intel Motherboard,1899.00,False,Motherboards
ASUS PRIME H510M-K LGA1200 Intel H510 Micro-ATX Intel Motherboard,1515.49,False,Motherboards
ASUS PRIME H610M-D D4 LGA1700 Intel H610 Micro-ATX Intel Motherboard,1801.49,False,Motherboards
ASUS PRIME H610M-K D4 LGA1700 Intel H610 Micro-ATX Intel Motherboard,1737.99,False,Motherboards
ASUS PRIME H670-PLUS D4 LGA1700 Intel H670 ATX Intel Motherboard,3016.99,False,Motherboards
ASUS PRIME H770-PLUS D4 LGA1700 Intel H770 ATX Intel Motherboard,3682.99,False,Motherboards
ASUS PRIME X670-P AM5 AMD X670 ATX AMD Motherboard,5433.99,False,Motherboards
ASUS PRIME X670-P WIFI AM5 AMD X670 ATX AMD Motherboard,4745.99,False,Motherboards
ASUS PRIME X670E-PRO WIFI AM5 AMD X670 ATX AMD Motherboard,8133.99,False,Motherboards
ASUS PRIME Z690-A LGA1700 Intel Z690 ATX Intel Motherboard,5649.00,False,Motherboards
ASUS PRIME Z690-P WIFI D4 LGA1700 Intel Z690 ATX Intel Motherboard,5099.00,False,Motherboards
ASUS PRIME Z690-P WIFI LGA1700 Intel Z690 ATX Intel Motherboard,5203.99,False,Motherboards
ASUS PRIME Z690M PLUS D4 LGA1700 Intel Z690 Micro-ATX Intel Motherboard,3899.00,False,Motherboards
ASUS PRIME Z790-A WIFI LGA1700 Intel Z790 ATX Intel Motherboard,8121.49,False,Motherboards
ASUS PRIME Z790-P D4 LGA1700 Intel Z790 ATX Intel Motherboard,4221.99,False,Motherboards
ASUS PRIME Z790-P LGA1700 Intel Z790 ATX Intel Motherboard,4868.99,False,Motherboards
ASUS PRIME Z790-P WIFI LGA1700 Intel Z790 ATX Intel Motherboard,6284.99,False,Motherboards
ASUS PRIME Z790M-PLUS D4 LGA1700 Intel Z790 Micro-ATX Intel Motherboard,5177.99,False,Motherboards
ASUS PRIME Z790M-PLUS LGA1700 Intel Z790 Micro-ATX Intel Motherboard,5005.49,False,Motherboards
ASUS ProArt B650-CREATOR AM5 AMD B650 ATX AMD Motherboard,6854.99,False,Motherboards
ASUS ProArt B760-CREATOR D4 LGA1700 Intel B760 ATX Intel Motherboard,5272.49,False,Motherboards
ASUS ProArt Z790-CREATOR WIFI LGA1700 Intel Z790 ATX Intel Motherboard,12128.49,False,Motherboards
ASUS ROG CROSSHAIR X670E EXTREME AM5 AMD X670 E-ATX AMD Motherboard,19597.99,False,Motherboards
ASUS ROG CROSSHAIR X670E GENE AM5 AMD X670 Micro-ATX AMD Motherboard,10925.99,False,Motherboards
ASUS ROG CROSSHAIR X670E HERO AM5 AMD X670 ATX AMD Motherboard,12477.49,False,Motherboards
ASUS ROG MAXIMUS Z690 FORMULA LGA1700 Intel Z690 ATX Intel Motherboard,15860.49,False,Motherboards
ASUS ROG MAXIMUS Z790 APEX LGA1700 Intel Z790 ATX Intel Motherboard,18623.99,False,Motherboards
ASUS ROG MAXIMUS Z790 EXTREME LGA1700 Intel Z790 E-ATX Intel Motherboard,23616.99,False,Motherboards
ASUS ROG MAXIMUS Z790 HERO LGA1700 Intel Z790 ATX Intel Motherboard,16251.99,False,Motherboards
ASUS ROG STRIX B550-A GAMING AM4 AMD B550 ATX AMD Motherboard,3157.49,False,Motherboards
ASUS ROG STRIX B650-A GAMING WIFI AM5 AMD B650 ATX AMD Motherboard,4868.99,False,Motherboards
